Class ,Effective temperature,Vega-relative chromaticity ,Chromaticity (D65) ,Main-sequence mass ,Main-sequence radius ,Main-sequence luminosity ,Hydrogen lines ,Fraction of all main-sequence stars 
O ,"30,000 K  -  NA",blue ,blue ,16 M☉ - NA,6.6 R☉ - NA,"30,000 L☉ - NA",Weak ,0.00003% 
B ,"10,000 - 30,000 K ",bluish white ,deep bluish white ,2.1 - 16 M☉ ,1.8 - 6.6 R☉ ,"25 - 30,000 L☉ ",Medium ,0.12% 
A ,"7,500 - 10,000 K ",white ,bluish white ,1.4 - 2.1 M☉ ,1.4 - 1.8 R☉ ,5 - 25 L☉ ,Strong ,0.61% 
F ,"6,000 - 7,500 K ",yellowish white ,white ,1.04 - 1.4 M☉ ,1.15 - 1.4 R☉ ,1.5 - 5 L☉ ,Medium ,3.0% 
G ,"5,200 - 6,000 K ",yellow ,yellowish white ,0.8 - 1.04 M☉ ,0.96 - 1.15 R☉ ,0.6 - 1.5 L☉ ,Weak ,7.6% 
K ,"3,700 - 5,200 K ",light orange ,pale yellowish orange ,0.45 - 0.8 M☉ ,0.7 - 0.96 R☉ ,0.08 - 0.6 L☉ ,Very weak ,12% 
M ,"2,400 - 3,700 K ",orangish red ,light orangish red ,0.08 - 0.45 M☉ ,NA - 0.7 R☉ ,NA - 0.08 L☉ ,Very weak ,76% 
